X,Y,Z,Taladro,CuT,CuS,MinZone
223.294,423.744,903.593,taladro 1,1.45,1.45,1
223.458,423.437,899.608,taladro 1,1.748,1.748,1
223.704,422.975,893.631,taladro 1,2.508,2.508,1
223.949,422.513,887.654,taladro 1,1.932,1.912,1
224.195,422.051,881.677,taladro 1,1.84,1.804,1
224.44,421.59,875.7,taladro 1,1.794,1.794,1
228.677,533.717,849,taladro 2,2.318,2.272,1
228.687,534.24,854.977,taladro 2,1.982,1.952,1
228.696,534.763,860.954,taladro 2,2.548,2.518,1
228.714,535.809,872.908,taladro 2,3.694,3.67,1
228.719,536.103,876.27,taladro 2,3.244,3.244,1
228.705,535.286,866.931,taladro 2,4.146,4.092,1
224.686,421.128,869.722,taladro 3,1.702,1.294,1
224.931,420.666,863.745,taladro 3,1.15,1.15,1
225.177,420.205,857.768,taladro 3,1.22,1.22,1
225.422,419.743,851.791,taladro 3,1.518,1.518,1
225.668,419.281,845.814,taladro 3,1.312,1.312,1
225.913,418.819,839.837,taladro 3,1.864,1.864,1
228.579,530.581,813.137,taladro 4,1.774,1.702,1
228.615,531.627,825.091,taladro 4,1.624,1.624,1
228.597,531.104,819.114,taladro 4,1.69,1.65,1
228.652,532.672,837.045,taladro 4,2.334,2.318,1
228.668,533.194,843.022,taladro 4,1.744,1.722,1
228.633,532.149,831.068,taladro 4,1.96,1.948,1
226.159,418.358,833.859,taladro 5,1.588,1.588,1
226.404,417.896,827.882,taladro 5,0.76,0.76,1
226.65,417.434,821.905,taladro 5,1.15,1.15,1
226.895,416.972,815.928,taladro 5,1.128,1.116,1
227.141,416.511,809.951,taladro 5,0.874,0.874,1
227.386,416.049,803.974,taladro 5,0.806,0.806,1
228.576,527.444,777.274,taladro 6,1.856,1.768,1
228.576,527.967,783.251,taladro 6,1.842,1.764,1
228.576,528.49,789.228,taladro 6,1.442,1.39,1
228.576,529.013,795.205,taladro 6,1.34,1.302,1
228.576,530.058,807.159,taladro 6,1.824,1.778,1
228.576,529.536,801.182,taladro 6,1.292,1.264,1
227.632,415.587,797.996,taladro 7,2.002,2.002,1
227.869,415.121,792.019,taladro 7,0.944,0.944,1
228.098,414.651,786.042,taladro 7,1.45,1.45,1
228.328,414.181,780.065,taladro 7,1.312,1.312,1
228.557,413.711,774.088,taladro 7,1.702,1.702,1
228.786,413.241,768.111,taladro 7,1.128,1.128,1
228.568,524.829,747.388,taladro 8,2.528,2.44,1
228.559,524.306,741.411,taladro 8,1.834,1.798,1
228.576,525.352,753.365,taladro 8,2.232,2.176,1
228.576,526.921,771.296,taladro 8,1.748,1.714,1
228.576,526.398,765.319,taladro 8,1.762,1.716,1
228.576,525.875,759.342,taladro 8,1.364,1.324,1
228.55,523.783,735.433,taladro 9,2.014,1.964,1
228.541,523.261,729.456,taladro 9,1.784,1.756,1
228.531,522.738,723.479,taladro 9,1.836,1.814,1
228.522,522.215,717.502,taladro 9,1.902,1.87,1
228.513,521.692,711.525,taladro 9,1.784,1.778,1
228.504,521.169,705.548,taladro 9,1.59,1.57,1
229.588,410.758,732.206,taladro 10,1.15,1.15,1
229.809,410.284,726.229,taladro 10,1.978,1.978,1
230.03,409.81,720.252,taladro 10,2.576,2.524,1
230.251,409.336,714.275,taladro 10,1.702,1.702,1
230.472,408.862,708.298,taladro 10,1.588,1.588,1
230.697,408.39,702.321,taladro 10,1.266,1.266,1
228.355,518.56,675.662,taladro 11,1.858,1.834,1
228.401,519.081,681.639,taladro 11,2.344,2.324,1
228.31,518.039,669.685,taladro 11,2.206,2.168,1
228.486,520.123,693.593,taladro 11,1.84,1.816,1
228.495,520.646,699.57,taladro 11,1.584,1.552,1
228.446,519.602,687.616,taladro 11,1.752,1.722,1
230.926,407.92,696.343,taladro 12,1.082,1.082,1
231.156,407.45,690.366,taladro 12,2.116,2.116,1
231.385,406.98,684.389,taladro 12,2.876,2.876,1
231.614,406.51,678.412,taladro 12,2.094,2.074,1
231.814,406.028,672.435,taladro 12,1.38,1.38,1
231.984,405.533,666.458,taladro 12,1.082,1.082,1
228.036,514.914,633.822,taladro 13,3.204,3.164,1
228.082,515.435,639.799,taladro 13,3.272,3.204,1
228.127,515.956,645.776,taladro 13,4.62,4.598,1
228.173,516.477,651.753,taladro 13,5.464,5.396,1
228.264,517.518,663.707,taladro 13,2.312,2.276,1
228.218,516.998,657.73,taladro 13,3.112,3.064,1
232.154,405.039,660.48,taladro 14,2.116,2.116,1
232.325,404.544,654.503,taladro 14,1.128,1.128,1
232.495,404.05,648.526,taladro 14,1.818,1.818,1
232.665,403.556,642.549,taladro 14,1.656,1.656,1
232.835,403.061,636.572,taladro 14,2.3,2.232,1
233.006,402.567,630.595,taladro 14,1.404,1.404,1
227.94,512.301,603.936,taladro 15,3.71,3.692,1
227.959,512.824,609.913,taladro 15,2.894,2.858,1
227.93,511.778,597.959,taladro 15,3.198,3.182,1
227.995,513.869,621.867,taladro 15,3.106,3.096,1
228.013,514.391,627.844,taladro 15,3.528,3.522,1
227.977,513.346,615.89,taladro 15,2.254,2.234,1
559.508,361.206,624.858,taladro 16,1.91,1.91,1
559.618,360.421,621.423,taladro 16,2.048,1.898,1
559.806,359.084,615.577,taladro 16,2.104,1.904,1
559.994,357.747,609.731,taladro 16,2.048,1.682,1
560.182,356.411,603.885,taladro 16,1.86,1.5,1
560.369,355.074,598.039,taladro 16,1.646,1.372,1
233.966,399.58,594.732,taladro 17,2.83,2.83,1
233.813,400.08,600.709,taladro 17,1.61,1.61,1
233.66,400.58,606.686,taladro 17,1.196,1.124,1
233.508,401.081,612.663,taladro 17,1.886,1.868,1
233.346,401.578,618.64,taladro 17,1.358,1.358,1
233.176,402.072,624.617,taladro 17,0.99,0.99,1
227.892,508.641,562.096,taladro 18,2.734,2.706,1
227.893,509.687,574.05,taladro 18,2.11,2.086,1
227.892,509.164,568.073,taladro 18,2.324,2.208,1
227.911,510.732,586.004,taladro 18,2.448,2.412,1
227.921,511.255,591.981,taladro 18,3.016,3.002,1
227.902,510.21,580.027,taladro 18,1.828,1.828,1
234.119,399.08,588.754,taladro 19,1.932,1.932,1
234.272,398.58,582.777,taladro 19,1.564,1.532,1
234.425,398.08,576.8,taladro 19,1.196,1.196,1
234.578,397.58,570.823,taladro 19,2.254,2.208,1
234.731,397.08,564.846,taladro 19,1.794,1.794,1
234.884,396.58,558.869,taladro 19,2.07,2.008,1
227.866,505.503,526.233,taladro 20,2.792,2.778,1
227.875,506.026,532.21,taladro 20,2.824,2.792,1
227.884,506.549,538.187,taladro 20,2.574,2.53,1
227.892,507.595,550.141,taladro 20,2.708,2.682,1
227.892,508.118,556.118,taladro 20,2.922,2.878,1
227.892,507.072,544.164,taladro 20,2.662,2.588,1
235.037,396.08,552.891,taladro 21,1.634,1.618,1
235.189,395.58,546.914,taladro 21,2.622,2.596,1
235.342,395.08,540.937,taladro 21,1.38,1.38,1
235.495,394.579,534.96,taladro 21,1.886,1.83,1
235.648,394.079,528.983,taladro 21,2.116,1.99,1
235.827,393.589,523.006,taladro 21,1.772,1.772,1
370.7,301.559,530.561,taladro 22,1.288,-2,1
371.585,305.732,534.78,taladro 22,1.956,-2,1
372.471,309.901,539.003,taladro 22,2.6,-2,1
374.25,318.237,547.449,taladro 22,2.208,-2,1
375.139,322.404,551.673,taladro 22,2.714,-2,1
373.361,314.069,543.226,taladro 22,2.094,-2,1
127.261,665.467,535.907,taladro 23,1.496,1.466,1
128.101,660.164,533.23,taladro 23,1.932,1.894,1
128.89,654.889,530.483,taladro 23,1.956,1.956,1
129.627,649.643,527.666,taladro 23,2.208,2.186,1
130.365,644.397,524.85,taladro 23,1.15,1.15,1
131.102,639.151,522.033,taladro 23,2.024,2.024,1
131.839,633.905,519.216,taladro 23,1.932,1.904,1
172.394,333.207,503.157,taladro 24,1.196,1.196,1
172.099,336.949,498.477,taladro 24,1.058,1.058,1
172.788,329.451,507.819,taladro 24,0.69,0.672,1
171.903,340.679,493.782,taladro 24,0.966,0.966,1
173.578,321.941,517.145,taladro 24,1.15,1.15,1
173.183,325.696,512.482,taladro 24,0.944,0.84,1
173.973,318.186,521.808,taladro 24,0.782,0.782,1
202.694,579.999,502.695,taladro 25,1.012,-2,1
195.037,616.021,520.715,taladro 25,1.196,1.142,1
195.972,611.625,518.523,taladro 25,3.312,3.064,1
197.093,606.35,515.893,taladro 25,3.842,3.554,1
198.214,601.075,513.263,taladro 25,1.358,1.262,1
199.335,595.8,510.633,taladro 25,2.07,1.988,1
200.457,590.526,508.002,taladro 25,1.61,1.61,1
201.578,585.251,505.372,taladro 25,1.588,1.548,1
227.857,504.981,520.255,taladro 26,2.692,2.554,1
227.848,504.458,514.278,taladro 26,3.204,3.088,1
227.846,503.935,508.301,taladro 26,3.36,3.3,1
227.846,503.412,502.324,taladro 26,3.118,3.072,1
227.846,502.889,496.347,taladro 26,2.886,2.842,1
227.846,502.366,490.37,taladro 26,2.762,2.72,1
227.846,499.228,454.507,taladro 27,2.462,2.462,1
227.846,498.792,448.523,taladro 27,2.418,2.418,1
227.846,499.751,460.484,taladro 27,1.768,1.768,1
227.846,501.843,484.392,taladro 27,2.948,2.836,1
227.846,500.797,472.438,taladro 27,2.254,2.216,1
227.846,501.32,478.415,taladro 27,2.892,2.826,1
227.846,500.274,466.461,taladro 27,2.088,2.088,1
238.321,387.594,451.305,taladro 28,1.634,1.584,1
237.979,388.12,457.272,taladro 28,1.404,1.404,1
237.638,388.646,463.239,taladro 28,1.932,1.932,1
238.662,387.068,445.338,taladro 28,1.978,1.978,1
237.251,389.663,475.188,taladro 28,1.334,1.308,1
237.106,390.166,481.165,taladro 28,1.058,1.058,1
237.395,389.16,469.211,taladro 28,1.196,1.184,1
212.286,532.852,478.179,taladro 29,3.496,3.426,1
213.352,527.613,475.456,taladro 29,4.554,4.554,1
214.463,522.384,472.732,taladro 29,3.22,3.156,1
215.575,517.155,470.008,taladro 29,4.738,4.69,1
216.686,511.926,467.284,taladro 29,4.968,4.794,1
217.798,506.697,464.56,taladro 29,3.934,3.836,1
218.768,501.466,461.789,taladro 29,3.98,3.98,1
595.024,429.684,412.38,taladro 30,2.378,1.968,2
595.024,424.338,415.104,taladro 30,1.662,1.468,2
595.024,418.992,417.828,taladro 30,0.502,0.434,2
595.024,408.3,423.275,taladro 30,1.182,0.924,2
595.024,402.954,425.999,taladro 30,0.832,-2,2
595.024,397.608,428.723,taladro 30,1.258,0.71,2
595.024,413.646,420.552,taladro 30,1.006,0.848,2
595.024,386.916,434.171,taladro 30,1.054,-2,2
595.024,381.57,436.895,taladro 30,1.622,0.664,2
595.024,376.224,439.619,taladro 30,0.938,-2,2
595.024,370.878,442.343,taladro 30,1.492,0.718,2
595.024,365.532,445.067,taladro 30,1.404,0.94,2
595.024,392.262,431.447,taladro 30,1.37,0.544,2
175.789,350.342,429.669,taladro 31,1.334,1.32,1
175.329,355.885,427.421,taladro 31,1.426,1.426,1
176.13,344.77,431.868,taladro 31,0.506,0.506,1
177.568,322.469,440.615,taladro 31,0.644,0.612,1
176.812,333.626,436.266,taladro 31,0.552,0.552,1
177.152,328.054,438.465,taladro 31,0.598,0.592,1
176.471,339.198,434.067,taladro 31,0.438,0.438,1
239.004,386.542,439.37,taladro 32,1.726,1.726,1
239.281,386.04,433.398,taladro 32,1.472,1.472,1
239.494,385.563,427.421,taladro 32,1.634,1.634,1
239.706,385.085,421.444,taladro 32,1.38,1.38,1
239.927,384.611,415.467,taladro 32,2.116,2.116,1
240.148,384.137,409.49,taladro 32,1.91,1.91,1
595.024,456.415,398.76,taladro 33,0.388,-2,2
595.024,435.031,409.656,taladro 33,0.936,0.772,2
595.024,440.377,406.932,taladro 33,0.638,0.398,2
595.024,445.723,404.208,taladro 33,0.526,0.398,2
595.024,451.069,401.484,taladro 33,0.638,0.398,2
595.024,459.858,397.005,taladro 33,0.276,-2,2
160.016,428.678,373.565,taladro 34,1.76,1.706,1
159.546,428.449,379.542,taladro 34,1.516,1.45,1
159.076,428.22,385.519,taladro 34,2.328,2.168,1
158.606,427.991,391.496,taladro 34,2.876,2.862,1
158.136,427.761,397.473,taladro 34,2.544,2.464,1
157.666,427.532,403.45,taladro 34,1.24,1.23,1
162.366,429.824,343.679,taladro 35,2.694,2.662,1
162.836,430.054,337.702,taladro 35,2.582,2.45,1
161.896,429.595,349.656,taladro 35,3.336,3.302,1
160.486,428.907,367.587,taladro 35,1.784,1.668,1
160.956,429.137,361.61,taladro 35,3.318,3.14,1
161.426,429.366,355.633,taladro 35,3.03,2.79,1
128.857,296.448,314.07,taladro 36,1.91,1.738,2
128.857,296.948,320.049,taladro 36,1.518,1.298,2
128.857,297.449,326.028,taladro 36,1.496,1.01,2
128.857,297.949,332.007,taladro 36,0.668,-2,2
128.857,299.95,355.923,taladro 36,0.576,-2,2
128.857,298.95,343.965,taladro 36,0.414,-2,2
128.857,299.45,349.944,taladro 36,0.782,-2,2
128.857,298.449,337.986,taladro 36,0.622,-2,2
338.824,455.157,316.395,taladro 37,1.656,1.06,2
337.203,446.011,323.992,taladro 37,4.186,3.14,2
338.016,450.578,320.187,taladro 37,4.278,2.952,2
335.59,436.91,331.645,taladro 37,1.748,1.066,2
334.797,432.369,335.485,taladro 37,2.83,1.416,2
336.391,441.456,327.812,taladro 37,3.336,1.2,2
163.306,430.283,331.724,taladro 38,2.744,2.678,1
163.776,430.512,325.747,taladro 38,3.038,2.904,1
164.246,430.741,319.77,taladro 38,4.682,4.314,1
164.716,430.971,313.793,taladro 38,5.33,4.866,1
165.186,431.2,307.816,taladro 38,5.424,5.12,1
165.656,431.429,301.839,taladro 38,4.174,3.662,1
128.857,291.945,260.258,taladro 39,0.828,-2,2
128.857,292.445,266.237,taladro 39,0.966,-2,2
128.857,292.946,272.216,taladro 39,0.506,-2,2
128.857,293.446,278.195,taladro 39,0.714,-2,2
128.857,294.947,296.132,taladro 39,0.736,-2,2
128.857,294.447,290.153,taladro 39,1.058,-2,2
128.857,295.447,302.111,taladro 39,0.414,-2,2
128.857,295.948,308.09,taladro 39,1.082,-2,2
128.857,293.946,284.174,taladro 39,0.552,-2,2
166.126,431.658,295.861,taladro 40,2.836,1.424,2
166.596,431.888,289.884,taladro 40,2.566,0.938,2
167.066,432.117,283.907,taladro 40,2.742,1.578,2
167.536,432.346,277.93,taladro 40,2.908,2.58,2
168.006,432.575,271.953,taladro 40,2.434,2.164,2
168.476,432.805,265.976,taladro 40,2.618,1.39,2
128.857,286.942,200.467,taladro 41,0.438,-2,2
128.857,287.442,206.446,taladro 41,1.542,1.056,2
128.857,287.942,212.425,taladro 41,0.53,-2,2
128.857,288.943,224.383,taladro 41,0.736,-2,2
128.857,288.443,218.404,taladro 41,0.622,-2,2
128.857,289.944,236.341,taladro 41,0.874,-2,2
128.857,290.444,242.32,taladro 41,0.622,-2,2
128.857,290.944,248.299,taladro 41,0.622,-2,2
128.857,291.445,254.278,taladro 41,1.334,0.768,2
128.857,289.443,230.362,taladro 41,0.438,-2,2
399.136,251.374,245.127,taladro 42,1.358,1.304,2
398.818,253.451,239.507,taladro 42,1.058,-2,2
398.498,255.533,233.889,taladro 42,1.104,-2,2
398.178,257.609,228.269,taladro 42,1.472,1.384,2
397.853,259.695,222.653,taladro 42,1.45,1.276,2
397.528,261.781,217.037,taladro 42,2.392,2.152,2
469.702,284.341,199.911,taladro 43,3.036,2.346,2
469.702,278.341,199.911,taladro 43,0.484,0.18,2
469.702,272.341,199.911,taladro 43,0.392,-2,2
469.702,290.341,199.911,taladro 43,1.772,1.344,2
469.702,302.341,199.911,taladro 43,4.692,3.476,2
469.702,296.341,199.911,taladro 43,2.208,1.564,2
469.702,332.341,199.911,taladro 44,2.438,1.89,2
469.702,338.341,199.911,taladro 44,2.622,1.852,2
469.702,344.341,199.911,taladro 44,3.244,2.616,2
469.702,350.341,199.911,taladro 44,3.312,2.32,2
469.702,356.341,199.911,taladro 44,2.484,1.59,2
469.702,362.341,199.911,taladro 44,2.232,2.086,2
469.702,367.366,199.911,taladro 44,1.772,1.616,2
128.857,281.939,140.676,taladro 45,0.668,-2,2
128.857,282.439,146.655,taladro 45,0.552,-2,2
128.857,282.939,152.634,taladro 45,0.69,-2,2
128.857,283.439,158.613,taladro 45,0.736,-2,2
128.857,283.94,164.592,taladro 45,0.598,-2,2
128.857,285.441,182.529,taladro 45,0.46,-2,2
128.857,284.94,176.55,taladro 45,0.23,-2,2
128.857,285.941,188.508,taladro 45,0.438,-2,2
128.857,286.441,194.487,taladro 45,0.346,-2,2
128.857,284.44,170.571,taladro 45,0.622,-2,2
128.857,278.937,104.801,taladro 46,0.576,-2,2
128.857,281.438,134.696,taladro 46,0.484,-2,2
128.857,280.938,128.717,taladro 46,0.622,-2,2
128.857,280.438,122.738,taladro 46,0.874,-2,2
128.857,279.937,116.759,taladro 46,0.76,-2,2
128.857,279.437,110.78,taladro 46,0.944,-2,2
128.857,278.436,98.822,taladro 46,0.782,-2,2
